[2025-01-24 00:07:31,375 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=91, shift=preds_0
[2025-01-24 00:07:31,819 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=92, shift=preds_0
[2025-01-24 00:07:32,257 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=93, shift=preds_0
[2025-01-24 00:07:32,697 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=94, shift=preds_0
[2025-01-24 00:07:33,137 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=95, shift=preds_0
[2025-01-24 00:07:35,693 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=96, shift=preds_0
[2025-01-24 00:07:36,132 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=97, shift=preds_0
[2025-01-24 00:07:36,571 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=98, shift=preds_0
[2025-01-24 00:07:37,001 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=99, shift=preds_0
[2025-01-24 00:07:37,457 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=100, shift=preds_0
[2025-01-24 00:07:37,934 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=101, shift=preds_0
[2025-01-24 00:07:38,374 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=102, shift=preds_0
[2025-01-24 00:07:38,814 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=103, shift=preds_0
[2025-01-24 00:07:39,250 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=104, shift=preds_0
[2025-01-24 00:07:39,722 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=105, shift=preds_0
[2025-01-24 00:07:40,157 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=106, shift=preds_0
[2025-01-24 00:07:40,610 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=107, shift=preds_0
[2025-01-24 00:07:41,065 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=108, shift=preds_0
[2025-01-24 00:07:41,535 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=109, shift=preds_0
[2025-01-24 00:07:41,991 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=110, shift=preds_0
[2025-01-24 00:07:42,450 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=111, shift=preds_0
[2025-01-24 00:07:42,905 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=112, shift=preds_0
[2025-01-24 00:07:43,362 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=113, shift=preds_0
[2025-01-24 00:07:43,826 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=114, shift=preds_0
[2025-01-24 00:07:44,325 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=115, shift=preds_0
[2025-01-24 00:07:46,851 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=116, shift=preds_0
[2025-01-24 00:07:47,312 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=117, shift=preds_0
[2025-01-24 00:07:47,778 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=118, shift=preds_0
[2025-01-24 00:07:48,252 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=119, shift=preds_0
[2025-01-24 00:07:48,712 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=120, shift=preds_0
[2025-01-24 00:07:49,179 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=121, shift=preds_0
[2025-01-24 00:07:49,702 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=122, shift=preds_0
[2025-01-24 00:07:50,137 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=123, shift=preds_0
[2025-01-24 00:07:50,637 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=124, shift=preds_0
[2025-01-24 00:07:51,080 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=125, shift=preds_0
[2025-01-24 00:07:51,510 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=126, shift=preds_0
[2025-01-24 00:07:51,939 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=127, shift=preds_0
[2025-01-24 00:07:52,368 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=128, shift=preds_0
[2025-01-24 00:07:52,961 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=129, shift=preds_0
[2025-01-24 00:07:53,348 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=130, shift=preds_0
[2025-01-24 00:07:53,745 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=131, shift=preds_0
[2025-01-24 00:07:54,175 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=132, shift=preds_0
[2025-01-24 00:07:54,636 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=133, shift=preds_0
[2025-01-24 00:07:55,091 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=134, shift=preds_0
[2025-01-24 00:07:55,573 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=135, shift=preds_0
[2025-01-24 00:07:56,041 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=136, shift=preds_0
[2025-01-24 00:07:56,518 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=137, shift=preds_0
[2025-01-24 00:07:57,035 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=138, shift=preds_0
[2025-01-24 00:07:57,506 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=139, shift=preds_0
[2025-01-24 00:07:57,976 INFO LIGO_Livingston]: [Detector 0] Sent Embeddings: batch_id=140, shift=preds_0
